rebalance_date,strategy_name,family_tag,score_col,rank_ic_csi800,rank_ic_alla
2026-04-01,hybrid_light_lgb_alpha_vs_csi800,hybrid_light,hybrid_light_lgb_score,0.1333074836512232,0.1333074836512232
2025-01-02,rank_industry_lgb_alpha_vs_csi800,rank_industry,rank_industry_csi800_score,-0.03427773619151803,-0.03427773619151803
2025-02-05,rank_industry_lgb_alpha_vs_csi800,rank_industry,rank_industry_csi800_score,-0.003697653361822685,-0.003697653361822685
2025-03-03,rank_industry_lgb_alpha_vs_csi800,rank_industry,rank_industry_csi800_score,0.09470392889883204,0.09470392889883204
2025-04-01,rank_industry_lgb_alpha_vs_csi800,rank_industry,rank_industry_csi800_score,-0.02024129145553679,-0.02024129145553679
2025-05-06,rank_industry_lgb_alpha_vs_csi800,rank_industry,rank_industry_csi800_score,0.06734313992124019,0.06734313992124019
2025-06-03,rank_industry_lgb_alpha_vs_csi800,rank_industry,rank_industry_csi800_score,-0.02236821586387199,-0.02236821586387199
2025-07-01,rank_industry_lgb_alpha_vs_csi800,rank_industry,rank_industry_csi800_score,-0.05202885367061851,-0.05202885367061851
2025-08-01,rank_industry_lgb_alpha_vs_csi800,rank_industry,rank_industry_csi800_score,-0.03742859702477746,-0.03742859702477746
2025-09-01,rank_industry_lgb_alpha_vs_csi800,rank_industry,rank_industry_csi800_score,0.0438687990651965,0.0438687990651965
2025-10-09,rank_industry_lgb_alpha_vs_csi800,rank_industry,rank_industry_csi800_score,-0.05042005725943494,-0.05042005725943494
2025-11-03,rank_industry_lgb_alpha_vs_csi800,rank_industry,rank_industry_csi800_score,0.03353363999032296,0.03353363999032296
2025-12-01,rank_industry_lgb_alpha_vs_csi800,rank_industry,rank_industry_csi800_score,0.07889663122767791,0.07889663122767791
2026-01-05,rank_industry_lgb_alpha_vs_csi800,rank_industry,rank_industry_csi800_score,0.0011240954251864588,0.0011240954251864588
2026-02-02,rank_industry_lgb_alpha_vs_csi800,rank_industry,rank_industry_csi800_score,0.038656228834150465,0.038656228834150465
2026-03-02,rank_industry_lgb_alpha_vs_csi800,rank_industry,rank_industry_csi800_score,0.011725539268643533,0.011725539268643533
2026-04-01,rank_industry_lgb_alpha_vs_csi800,rank_industry,rank_industry_csi800_score,0.0629005053835165,0.0629005053835165
2025-01-02,rank_industry_lgb_alpha_vs_alla,rank_industry,rank_industry_alla_score,-0.03997057882104057,-0.03997057882104057
2025-02-05,rank_industry_lgb_alpha_vs_alla,rank_industry,rank_industry_alla_score,-0.007906289838956585,-0.007906289838956585
2025-03-03,rank_industry_lgb_alpha_vs_alla,rank_industry,rank_industry_alla_score,0.1142281618944615,0.1142281618944615
2025-04-01,rank_industry_lgb_alpha_vs_alla,rank_industry,rank_industry_alla_score,-0.030187321963303492,-0.030187321963303492
2025-05-06,rank_industry_lgb_alpha_vs_alla,rank_industry,rank_industry_alla_score,0.07289340256246463,0.07289340256246463
2025-06-03,rank_industry_lgb_alpha_vs_alla,rank_industry,rank_industry_alla_score,-0.027003107278371505,-0.027003107278371505
2025-07-01,rank_industry_lgb_alpha_vs_alla,rank_industry,rank_industry_alla_score,-0.06996523414376404,-0.06996523414376404
2025-08-01,rank_industry_lgb_alpha_vs_alla,rank_industry,rank_industry_alla_score,-0.023553275796941824,-0.023553275796941824
2025-09-01,rank_industry_lgb_alpha_vs_alla,rank_industry,rank_industry_alla_score,0.053767027921527794,0.053767027921527794
2025-10-09,rank_industry_lgb_alpha_vs_alla,rank_industry,rank_industry_alla_score,-0.058715919279187304,-0.058715919279187304
2025-11-03,rank_industry_lgb_alpha_vs_alla,rank_industry,rank_industry_alla_score,0.05143223445337633,0.05143223445337633
2025-12-01,rank_industry_lgb_alpha_vs_alla,rank_industry,rank_industry_alla_score,0.08989411605938971,0.08989411605938971
2026-01-05,rank_industry_lgb_alpha_vs_alla,rank_industry,rank_industry_alla_score,0.0222666445450581,0.0222666445450581
2026-02-02,rank_industry_lgb_alpha_vs_alla,rank_industry,rank_industry_alla_score,0.035434809272225205,0.035434809272225205
2026-03-02,rank_industry_lgb_alpha_vs_alla,rank_industry,rank_industry_alla_score,0.011411381174031015,0.011411381174031015
2026-04-01,rank_industry_lgb_alpha_vs_alla,rank_industry,rank_industry_alla_score,0.05329688024429078,0.05329688024429078
2025-01-02,factor_group_recall_lgb,factor_group_recall,factor_group_recall_lgb_score,0.013326749849215088,0.013326749849215088
2025-02-05,factor_group_recall_lgb,factor_group_recall,factor_group_recall_lgb_score,0.13052722822561527,0.13052722822561527
2025-03-03,factor_group_recall_lgb,factor_group_recall,factor_group_recall_lgb_score,0.06113161411793133,0.06113161411793133
2025-04-01,factor_group_recall_lgb,factor_group_recall,factor_group_recall_lgb_score,0.01522568217387345,0.01522568217387345
2025-05-06,factor_group_recall_lgb,factor_group_recall,factor_group_recall_lgb_score,-0.029432112351392394,-0.029432112351392394
2025-06-03,factor_group_recall_lgb,factor_group_recall,factor_group_recall_lgb_score,0.004715707531416328,0.004715707531416328
2025-07-01,factor_group_recall_lgb,factor_group_recall,factor_group_recall_lgb_score,0.020429138836085603,0.020429138836085603
2025-08-01,factor_group_recall_lgb,factor_group_recall,factor_group_recall_lgb_score,0.1753152683359966,0.1753152683359966
2025-09-01,factor_group_recall_lgb,factor_group_recall,factor_group_recall_lgb_score,-0.06306015178614625,-0.06306015178614625
2025-10-09,factor_group_recall_lgb,factor_group_recall,factor_group_recall_lgb_score,0.07756720019863246,0.07756720019863246
2025-11-03,factor_group_recall_lgb,factor_group_recall,factor_group_recall_lgb_score,0.016618574650462813,0.016618574650462813
2025-12-01,factor_group_recall_lgb,factor_group_recall,factor_group_recall_lgb_score,0.19594038304806688,0.19594038304806688
2026-01-05,factor_group_recall_lgb,factor_group_recall,factor_group_recall_lgb_score,0.018685625614262912,0.018685625614262912
2026-02-02,factor_group_recall_lgb,factor_group_recall,factor_group_recall_lgb_score,0.007605694813531488,0.007605694813531488
2026-03-02,factor_group_recall_lgb,factor_group_recall,factor_group_recall_lgb_score,0.11579023104170146,0.11579023104170146
2026-04-01,factor_group_recall_lgb,factor_group_recall,factor_group_recall_lgb_score,0.18499804589506919,0.18499804589506919
2025-01-02,recall_rerank_lgb_alpha_vs_alla,recall_rerank,recall_rerank_alla_score,0.009674446192637664,0.009674446192637664
2025-02-05,recall_rerank_lgb_alpha_vs_alla,recall_rerank,recall_rerank_alla_score,0.07106172341272073,0.07106172341272073
2025-03-03,recall_rerank_lgb_alpha_vs_alla,recall_rerank,recall_rerank_alla_score,-0.0416270307148293,-0.0416270307148293
2025-04-01,recall_rerank_lgb_alpha_vs_alla,recall_rerank,recall_rerank_alla_score,-0.012795450053255084,-0.012795450053255084
