alpha_vs_alla,alpha_vs_csi800,benchmark_alla_1m,benchmark_csi800_1m,board_chinext,board_main,board_star,portfolio_profile,raw_return_1m,rebalance_date,score_col,strategy_name,target_count,targets,cum_ret,cum_csi800,cum_excess_csi800
0.045371536165475845,0.05842677876353264,0.025663701817393303,0.012608456425368786,6.0,2.0,2.0,top10,0.071035236120224,2025-01-02,manual_rule_score,manual_v3,10,"300394.XSHE,000426.XSHE,300033.XSHE,688249.XSHG,688120.XSHG,002423.XSHE,300339.XSHE,301358.XSHE,300002.XSHE,300274.XSHE",0.071035236120224,0.012608456425368786,0.05842677876353264
-0.003334867302328348,0.007999839261174202,0.026354635134339333,0.01501992903649807,5.0,4.0,1.0,top10,0.02301977016031742,2025-02-05,manual_rule_score,manual_v3,10,"300059.XSHE,300308.XSHE,688041.XSHG,002085.XSHE,300803.XSHE,002625.XSHE,300033.XSHE,600839.XSHG,301165.XSHE,603341.XSHG",0.09569022108931291,0.02781776358263577,0.06689402286336321
0.060332220047712326,0.054084181785583496,-0.0077665927819907665,-0.0015185512602329254,5.0,5.0,0.0,top10,0.05256562680006027,2025-03-03,manual_rule_score,manual_v3,10,"300394.XSHE,300308.XSHE,300476.XSHE,601127.XSHG,300502.XSHE,002353.XSHE,002423.XSHE,300059.XSHE,000921.XSHE,603338.XSHG",0.15328586433956937,0.026256969622457493,0.12459611314185781
-0.014831334352493286,-0.013127712532877922,-0.01975426822900772,-0.021457891911268234,4.0,5.0,1.0,top10,-0.03458560258150101,2025-04-01,manual_rule_score,manual_v3,10,"300866.XSHE,000034.XSHE,300002.XSHE,000887.XSHE,300223.XSHE,688111.XSHG,000032.XSHE,601689.XSHG,002085.XSHE,300750.XSHE",0.11339877777265817,0.004235658495113093,0.10983273865293963
0.020285142585635185,0.02149617299437523,0.002642516978085041,0.001431483426131308,5.0,4.0,1.0,top10,0.02292765863239765,2025-05-06,manual_rule_score,manual_v3,10,"300866.XSHE,300002.XSHE,002475.XSHE,603129.XSHG,300251.XSHE,603259.XSHG,300433.XSHE,603228.XSHG,300476.XSHE,688099.XSHG",0.13892640487115848,0.0056732051961789765,0.13368989519784447
0.03827746957540512,0.045506708323955536,0.030223330482840538,0.022994088008999825,2.0,6.0,2.0,top10,0.06850080192089081,2025-06-03,manual_rule_score,manual_v3,10,"300251.XSHE,002850.XSHE,002517.XSHE,002244.XSHE,603596.XSHG,688220.XSHG,603893.XSHG,000032.XSHE,688120.XSHG,301165.XSHE",0.21694377693370992,0.028797743384752827,0.1852803905884286
-0.005822102073580027,0.0024363617412745953,0.04324720799922943,0.03498874604701996,1.0,6.0,2.0,top10,0.037425100803375244,2025-07-01,manual_rule_score,manual_v3,10,"689009.XSHG,688608.XSHG,002594.XSHE,600988.XSHG,002773.XSHE,002920.XSHE,688578.XSHG,601127.XSHG,301301.XSHE,603596.XSHG",0.2624880204574942,0.06479408636178907,0.18816816238474132
0.0530298575758934,0.04492545127868652,0.10960137099027634,0.11770577728748322,1.0,8.0,0.0,top10,0.16263122856616974,2025-08-01,manual_rule_score,manual_v3,10,"300857.XSHE,002517.XSHE,603129.XSHG,601127.XSHG,000997.XSHE,002074.XSHE,002594.XSHE,689009.XSHG,601665.XSHG,000807.XSHE",0.4678079982745682,0.1901265019481191,0.24154715327484344
-0.03986102342605591,-0.05081234127283096,0.04729943722486496,0.05825074762105942,1.0,7.0,2.0,top10,0.007438416592776775,2025-09-01,manual_rule_score,manual_v3,10,"300251.XSHE,002683.XSHE,002773.XSHE,688520.XSHG,601669.XSHG,000997.XSHE,688278.XSHG,603228.XSHG,002821.XSHE,600919.XSHG",0.4787261656439443,0.2594522604502332,0.17846123561633043
-0.005347518716007471,-0.003083831164985895,0.005640706047415733,0.0033770189620554447,4.0,3.0,1.0,top10,0.00029319003806449473,2025-10-09,manual_rule_score,manual_v3,10,"300724.XSHE,300394.XSHE,688256.XSHG,600415.XSHG,601958.XSHG,689009.XSHG,302132.XSHE,600737.XSHG,300395.XSHE,300573.XSHE",0.4791597134247365,0.26370545461557726,0.17482706013120897
-0.013724560849368572,-0.009978316724300385,-0.0069921910762786865,-0.010738438926637173,3.0,7.0,0.0,top10,-0.020716752856969833,2025-11-03,manual_rule_score,manual_v3,10,"300502.XSHE,002475.XSHE,002517.XSHE,300394.XSHE,603259.XSHG,300604.XSHE,002472.XSHE,002130.XSHE,002920.XSHE,000988.XSHE",0.44851632720573,0.2501352307699296,0.16310426362894104
0.05008327215909958,0.05045682191848755,0.04966263100504875,0.04928908124566078,4.0,6.0,0.0,top10,0.09974591434001923,2025-12-01,manual_rule_score,manual_v3,10,"300857.XSHE,300724.XSHE,600021.XSHG,002050.XSHE,601138.XSHG,002850.XSHE,300014.XSHE,002475.XSHE,300803.XSHE,002056.XSHE",0.592999912699312,0.31175324772741164,0.2217908083315001
-0.0452476367354393,-0.032106466591358185,-0.0070796143263578415,-0.020220790058374405,5.0,4.0,0.0,top10,-0.05232725292444229,2026-01-05,manual_rule_score,manual_v3,10,"300274.XSHE,002475.XSHE,000426.XSHE,301358.XSHE,002402.XSHE,300207.XSHE,300014.XSHE,603019.XSHG,300750.XSHE,689009.XSHG",0.5096426033588806,0.28522856069672486,0.1825634225621764
-0.04146605730056763,-0.039439842104911804,0.025503728538751602,0.02347750961780548,4.0,5.0,1.0,top10,-0.015962325036525726,2026-02-02,manual_rule_score,manual_v3,10,"300274.XSHE,300476.XSHE,002475.XSHE,300502.XSHE,688256.XSHG,002050.XSHE,002472.XSHE,601138.XSHG,603129.XSHG,300803.XSHE",0.4855451974350793,0.31540252659156054,0.13592330789728013
0.031633634120225906,0.03105807676911354,-0.03902819752693176,-0.038452643901109695,4.0,4.0,2.0,top10,-0.007394564803689718,2026-03-02,manual_rule_score,manual_v3,10,"300308.XSHE,300274.XSHE,300502.XSHE,688082.XSHG,688256.XSHG,002517.XSHE,002558.XSHE,000975.XSHE,601138.XSHG,301308.XSHE",0.47456023720383556,0.2648218216499152,0.17120290119777937
0.09363977611064911,0.09662918746471405,0.10326187312602997,0.10027245432138443,1.0,8.0,1.0,top10,0.19690163433551788,2026-04-01,manual_rule_score,manual_v3,10,"000426.XSHE,603979.XSHG,601958.XSHG,601168.XSHG,603993.XSHG,300857.XSHE,002155.XSHE,688676.XSHG,600549.XSHG,601899.XSHG",0.7649035578354397,0.3916486099859966,0.28437528589683647
-0.0007139714434742928,0.012341270223259926,0.025663701817393303,0.012608456425368786,10.0,3.0,7.0,top20,0.024949727579951286,2025-01-02,manual_rule_score,manual_v3,20,"300394.XSHE,000426.XSHE,300033.XSHE,688249.XSHG,688120.XSHG,002423.XSHE,300339.XSHE,301358.XSHE,300002.XSHE,300274.XSHE,688472.XSHG,688012.XSHG,301301.XSHE,300390.XSHE,300059.XSHE,688082.XSHG,600839.XSHG,688072.XSHG,300308.XSHE,688778.XSHG",0.024949727579951286,0.012608456425368786,0.012341270223259926
-0.0001231215865118429,0.011211583390831947,0.026354635134339333,0.01501992903649807,7.0,11.0,2.0,top20,0.026231516152620316,2025-02-05,manual_rule_score,manual_v3,20,"300059.XSHE,300308.XSHE,688041.XSHG,002085.XSHE,300803.XSHE,002625.XSHE,300033.XSHE,600839.XSHG,301165.XSHE,603341.XSHG,002423.XSHE,601881.XSHG,002429.XSHE,000034.XSHE,600487.XSHG,300339.XSHE,600157.XSHG,600155.XSHG,301269.XSHE,688008.XSHG",0.05183571291458855,0.02781776358263577,0.023691218794348767
0.037713970988988876,0.031465932726860046,-0.0077665927819907665,-0.0015185512602329254,7.0,13.0,0.0,top20,0.029947379603981972,2025-03-03,manual_rule_score,manual_v3,20,"300394.XSHE,300308.XSHE,300476.XSHE,601127.XSHG,300502.XSHE,002353.XSHE,002423.XSHE,300059.XSHE,000921.XSHE,603338.XSHG,300604.XSHE,601600.XSHG,601156.XSHG,002463.XSHE,600707.XSHG,603228.XSHG,300274.XSHE,000063.XSHE,601336.XSHG,603129.XSHG",0.08333543629026674,0.026256969622457493,0.05590261781800909
