candidate_name,file_name,model_date_count,path,portfolio_profile,pred_col_count,sleeve_component_count,strategy_name
v3_baseline_top10,model_csi800_lgb_v3_baseline_top10_walkforward.pkl,16,csi800_ml_mainline_family_v3_outputs/model_csi800_lgb_v3_baseline_top10_walkforward.pkl,top10,1,0,raw_v22a_lgb_alpha_vs_alla
v3_baseline_top20,model_csi800_lgb_v3_baseline_top20_walkforward.pkl,16,csi800_ml_mainline_family_v3_outputs/model_csi800_lgb_v3_baseline_top20_walkforward.pkl,top20,1,0,raw_v22a_lgb_alpha_vs_alla
v3_blend_top20,model_csi800_lgb_v3_v3blend_top20_walkforward.pkl,16,csi800_ml_mainline_family_v3_outputs/model_csi800_lgb_v3_v3blend_top20_walkforward.pkl,top20,2,0,v3_lgb_blend
v3_sleeve_60_base10_40_v3blend20,model_csi800_lgb_v3_sleeve_60_base10_40_v3blend20_walkforward.pkl,16,csi800_ml_mainline_family_v3_outputs/model_csi800_lgb_v3_sleeve_60_base10_40_v3blend20_walkforward.pkl,sleeve,2,2,sleeve_60_base_top10_40_v3blend_top20
v3_sleeve_50_base20_50_v3blend20,model_csi800_lgb_v3_sleeve_50_base20_50_v3blend20_walkforward.pkl,16,csi800_ml_mainline_family_v3_outputs/model_csi800_lgb_v3_sleeve_50_base20_50_v3blend20_walkforward.pkl,sleeve,2,2,sleeve_50_base_top20_50_v3blend_top20
v3_sleeve_60_base10_40_groupind10,model_csi800_lgb_v3_sleeve_60_base10_40_groupind10_walkforward.pkl,16,csi800_ml_mainline_family_v3_outputs/model_csi800_lgb_v3_sleeve_60_base10_40_groupind10_walkforward.pkl,sleeve,6,2,sleeve_60_base_top10_40_group_industry_top10
